2013/01/11 14:15:47	WEBSITE	WEBSITE_VISITED	0	foreningssparbanken.se
2013/01/11 14:15:50	UPLINK	GET_WITH_FILE	1421	38445
2013/01/11 14:15:52	DATABASE	PUBLISH	113	38445
2013/01/11 14:15:52	NRS	PUBLISH	103	38445
2013/01/11 14:15:55	UPLINK	GET_WITH_FILE	79	12211
2013/01/11 14:15:55	DATABASE	PUBLISH	120	12211
2013/01/11 14:15:55	NRS	PUBLISH	94	12211
2013/01/11 14:15:58	UPLINK	GET_WITH_FILE	68	26929
2013/01/11 14:15:59	DATABASE	PUBLISH	115	26929
2013/01/11 14:15:59	NRS	PUBLISH	80	26929
2013/01/11 14:16:02	UPLINK	GET_WITH_FILE	174	92045
2013/01/11 14:16:02	DATABASE	PUBLISH	233	92045
2013/01/11 14:16:02	NRS	PUBLISH	140	92045
2013/01/11 14:16:05	UPLINK	GET_WITH_FILE	125	92806
2013/01/11 14:16:06	DATABASE	PUBLISH	102	92806
2013/01/11 14:16:06	NRS	PUBLISH	79	92806
2013/01/11 14:16:09	UPLINK	GET_WITH_FILE	75	2257
2013/01/11 14:16:09	DATABASE	PUBLISH	107	2257
2013/01/11 14:16:09	NRS	PUBLISH	41	2257
2013/01/11 14:16:12	UPLINK	GET_WITH_FILE	51	3266
2013/01/11 14:16:12	DATABASE	PUBLISH	114	3266
2013/01/11 14:16:12	NRS	PUBLISH	3052	3266
2013/01/11 14:16:18	UPLINK	GET_WITH_FILE	66	41574
2013/01/11 14:16:19	DATABASE	PUBLISH	133	41574
2013/01/11 14:16:19	NRS	PUBLISH	97	41574
2013/01/11 14:16:22	UPLINK	GET_WITH_FILE	45	6358
2013/01/11 14:16:22	DATABASE	PUBLISH	138	6358
2013/01/11 14:16:22	NRS	PUBLISH	39	6358
2013/01/11 14:16:25	UPLINK	GET_WITH_FILE	270	2748
2013/01/11 14:16:26	DATABASE	PUBLISH	126	2748
2013/01/11 14:16:26	NRS	PUBLISH	44	2748
2013/01/11 14:16:29	UPLINK	GET_WITH_FILE	174	103532
2013/01/11 14:16:29	DATABASE	PUBLISH	121	103532
2013/01/11 14:16:30	NRS	PUBLISH	102	103532
2013/01/11 14:16:33	UPLINK	GET_WITH_FILE	70	24798
2013/01/11 14:16:33	DATABASE	PUBLISH	138	24798
2013/01/11 14:16:33	NRS	PUBLISH	71	24798
2013/01/11 14:16:36	UPLINK	GET_WITH_FILE	92	48468
2013/01/11 14:16:36	DATABASE	PUBLISH	116	48468
2013/01/11 14:16:36	NRS	PUBLISH	65	48468
2013/01/11 14:16:40	UPLINK	GET_WITH_FILE	44	85
2013/01/11 14:16:40	DATABASE	PUBLISH	115	85
2013/01/11 14:16:40	NRS	PUBLISH	54	85
2013/01/11 14:16:43	UPLINK	GET_WITH_FILE	68	2222
2013/01/11 14:16:43	DATABASE	PUBLISH	101	2222
2013/01/11 14:16:43	NRS	PUBLISH	34	2222
2013/01/11 14:16:46	UPLINK	GET_WITH_FILE	39	2900
2013/01/11 14:16:46	DATABASE	PUBLISH	125	2900
2013/01/11 14:16:47	NRS	PUBLISH	51	2900
2013/01/11 14:16:50	UPLINK	GET_WITH_FILE	48	156
2013/01/11 14:16:50	DATABASE	PUBLISH	101	156
2013/01/11 14:16:50	NRS	PUBLISH	39	156
2013/01/11 14:16:53	UPLINK	GET_WITH_FILE	43	2962
2013/01/11 14:16:53	DATABASE	PUBLISH	106	2962
2013/01/11 14:16:53	NRS	PUBLISH	47	2962
2013/01/11 14:16:56	UPLINK	GET_WITH_FILE	44	2877
2013/01/11 14:16:56	DATABASE	PUBLISH	123	2877
2013/01/11 14:16:57	NRS	PUBLISH	46	2877
2013/01/11 14:17:00	UPLINK	GET_WITH_FILE	37	659
2013/01/11 14:17:00	DATABASE	PUBLISH	129	659
2013/01/11 14:17:00	NRS	PUBLISH	50	659
2013/01/11 14:17:03	UPLINK	GET_WITH_FILE	45	1117
2013/01/11 14:17:03	DATABASE	PUBLISH	117	1117
